Price,Close,High,Low,Open,Volume
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN
Date,,,,,
2023-03-03,59808.96875,59967.0390625,59231.578125,59241.19921875,9200
2023-03-06,60224.4609375,60498.48046875,60005.6484375,60007.0390625,5900
2023-03-08,60348.08984375,60402.8515625,59844.8203125,59916.1015625,6500
2023-03-09,59806.28125,60467.08984375,59750.53125,60467.08984375,7700
2023-03-10,59135.12890625,59262.46875,58884.98046875,59259.828125,6300
2023-03-13,58237.8515625,59510.921875,58094.55078125,59033.76953125,8000
2023-03-14,57900.19140625,58490.98046875,57721.16015625,58168.75,10200
2023-03-15,57555.8984375,58473.62890625,57455.671875,58268.5390625,7600
2023-03-16,57634.83984375,57887.4609375,57158.69140625,57510.80078125,7900
2023-03-17,57989.8984375,58178.94140625,57503.8984375,58038.171875,6300
2023-03-20,57628.94921875,57829.23046875,57084.91015625,57773.55078125,6500
2023-03-21,58074.6796875,58133.328125,57730.08984375,57963.26953125,5500
2023-03-22,58214.58984375,58418.78125,58063.5,58245.26171875,0
2023-03-23,57925.28125,58396.171875,57838.8515625,58061.41015625,5100
2023-03-24,57527.1015625,58066.3984375,57422.98046875,57890.66015625,6400
2023-03-27,57653.859375,58019.55078125,57415.01953125,57566.8984375,6000
2023-03-28,57613.71875,57949.44921875,57494.91015625,57751.5,4500
2023-03-29,57960.08984375,58124.19921875,57524.3203125,57572.078125,5900
2023-03-31,58991.51953125,59068.46875,58273.859375,58273.859375,6500
2023-04-03,59106.44140625,59204.8203125,58793.078125,59131.16015625,4300
2023-04-05,59689.30859375,59747.12109375,59094.3984375,59094.7109375,5000
2023-04-06,59832.96875,59950.05859375,59520.12109375,59627.01171875,4700
2023-04-10,59846.51171875,60109.109375,59766.23046875,59858.98046875,11000
2023-04-11,60157.71875,60267.6796875,59919.87890625,60028.6015625,6900
2023-04-12,60392.76953125,60437.640625,60094.69140625,60180.19921875,5900
2023-04-13,60431.0,60486.91015625,60081.4296875,60364.41015625,6600
2023-04-17,59910.75,60407.859375,59442.46875,60385.8984375,15200
2023-04-18,59727.01171875,60113.46875,59579.30078125,59991.26171875,7300
2023-04-19,59567.80078125,59745.890625,59452.71875,59745.890625,7800
2023-04-20,59632.3515625,59836.7890625,59489.98046875,59586.609375,6600
2023-04-21,59655.05859375,59781.359375,59412.80859375,59538.7890625,5700
2023-04-24,60056.1015625,60101.640625,59620.109375,59873.7109375,6600
2023-04-25,60130.7109375,60268.671875,59967.01953125,60202.76953125,6500
2023-04-26,60300.578125,60362.7890625,59954.91015625,60087.98046875,4500
2023-04-27,60649.37890625,60698.30859375,60271.48828125,60315.55859375,5500
2023-04-28,61112.44140625,61209.4609375,60507.828125,60721.609375,7200
2023-05-02,61354.7109375,61486.23828125,61255.0,61301.609375,6700
2023-05-03,61193.30078125,61274.9609375,61024.44140625,61274.9609375,6100
2023-05-04,61749.25,61797.91015625,61119.55859375,61258.12890625,8100
2023-05-05,61054.2890625,61585.5,61002.171875,61163.1015625,5600
2023-05-08,61764.25,61854.19140625,61166.08984375,61166.08984375,7900
2023-05-09,61761.328125,62027.51171875,61654.94140625,61879.6796875,6900
2023-05-10,61940.19921875,61974.3515625,61572.9296875,61843.359375,4800
2023-05-11,61904.51953125,62168.21875,61823.0703125,62158.1015625,6100
2023-05-12,62027.8984375,62110.9296875,61578.1484375,61857.69140625,7000
2023-05-15,62345.7109375,62562.671875,61950.30078125,62157.1015625,6900
2023-05-16,61932.46875,62475.94921875,61847.41015625,62474.109375,5900
2023-05-17,61560.640625,61979.94140625,61340.1015625,61932.3203125,6700
2023-05-18,61431.73828125,61955.8984375,61349.33984375,61937.859375,8200
2023-05-19,61729.6796875,61784.609375,61251.69921875,61556.25,6100
2023-05-22,61963.6796875,62044.4609375,61579.78125,61579.78125,5600
2023-05-23,61981.7890625,62245.19140625,61914.3984375,62098.16015625,8400
2023-05-24,61773.78125,62154.140625,61708.1015625,61834.28125,5900
2023-05-25,61872.62109375,61934.01171875,61484.66015625,61706.12890625,8400
2023-05-26,62501.69140625,62529.828125,61911.609375,61985.359375,9200
2023-05-29,62846.37890625,63026.0,62801.5390625,62801.5390625,9600
2023-05-30,62969.12890625,63036.12109375,62737.3984375,62839.8515625,7800
2023-05-31,62622.23828125,62876.76953125,62401.01953125,62839.96875,7300
2023-06-01,62428.5390625,62762.41015625,62359.140625,62736.46875,8000
2023-06-02,62547.109375,62719.83984375,62379.859375,62601.96875,6300
2023-06-05,62787.46875,62943.19921875,62751.71875,62759.19140625,6100
2023-06-06,62792.87890625,62867.94921875,62554.2109375,62738.3515625,8100
2023-06-07,63142.9609375,63196.4296875,62841.94921875,62917.390625,6900
2023-06-08,62848.640625,63321.3984375,62789.73046875,63140.171875,11000
2023-06-09,62625.62890625,62992.16015625,62594.73828125,62810.6796875,41400
2023-06-12,62724.7109375,62804.890625,62615.19921875,62659.98046875,4900
2023-06-13,63143.16015625,63177.46875,62777.0390625,62779.140625,5500
2023-06-14,63228.51171875,63274.03125,63013.51171875,63115.48046875,11900
2023-06-15,62917.62890625,63310.9609375,62871.078125,63153.78125,6700
2023-06-16,63384.578125,63520.359375,62957.171875,62960.73046875,5500
2023-06-19,63168.30078125,63574.69140625,63047.828125,63474.2109375,1400
2023-06-20,63327.69921875,63440.19140625,62801.91015625,63176.76953125,5000
2023-06-21,63523.1484375,63588.30859375,63315.62109375,63467.4609375,10600
2023-06-22,63238.890625,63601.7109375,63200.62890625,63601.7109375,7300
